"channel","pitch","tick_on","tick_off","dur_ticks","velocity","nota_nombre","clase_pitch","fuera_escala_mayor","fuera_escala_menor","duracion_muy_corta","velocidad_anomala","intervalo_disonante"
0,50,0,480,480,69,"D3",2,TRUE,FALSE,FALSE,TRUE,FALSE
0,74,0,480,480,73,"D5",2,TRUE,FALSE,FALSE,TRUE,FALSE
0,66,960,1440,480,45,"F#4",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,960,1094,134,66,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,1082,1212,130,55,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,1561,1693,132,55,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,1680,1813,133,55,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,1800,1932,132,55,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,66,1920,2400,480,37,"F#4",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,85,3361,3422,61,45,"C#6",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,86,3602,3660,58,45,"D6",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,62,4560,4800,240,33,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,52,4800,5041,241,37,"E3",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,78,5041,5160,119,44,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,5160,5281,121,44,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,57,5281,5340,59,37,"A3",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,61,5520,5581,61,30,"C#4",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,79,5520,5581,61,46,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,77,5760,6000,240,54,"F5",5,TRUE,TRUE,FALSE,FALSE,TRUE
0,78,6000,6240,240,45,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,66,6720,7200,480,45,"F#4",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,6720,6852,132,66,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,6842,6972,130,55,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,7321,7453,132,55,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,7440,7573,133,55,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,7561,7692,131,55,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,66,7680,8160,480,37,"F#4",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,85,9121,9181,60,45,"C#6",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,86,9360,9421,61,45,"D6",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,62,10320,10560,240,33,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,52,10560,10801,241,37,"E3",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,78,10801,10920,119,44,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,10920,11042,122,44,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,57,11042,11280,238,37,"A3",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,11161,11280,119,44,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,61,11280,11520,240,32,"C#4",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,78,12480,12568,88,47,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,12562,12649,87,43,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,12640,12728,88,48,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,66,12722,12841,119,26,"F#4",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,12722,12808,86,43,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,12799,12888,89,48,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,12880,12968,88,44,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,12959,13048,89,48,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,13040,13127,87,44,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,13119,13207,88,44,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,66,13200,13320,120,30,"F#4",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,76,13200,13332,132,48,"E5",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,74,13320,13452,132,44,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,64,13440,13560,120,37,"E4",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,73,13440,13560,120,50,"C#5",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,67,13682,13802,120,29,"G4",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,76,14400,14521,121,50,"E5",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,66,14521,14652,131,38,"F#4",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,67,14641,14772,131,38,"G4",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,66,14760,14892,132,38,"F#4",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,62,15000,15133,133,40,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,61,15120,15252,132,40,"C#4",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,57,16320,16440,120,36,"A3",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,16320,16408,88,47,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,79,16480,16569,89,48,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,61,16562,16681,119,26,"C#4",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,79,16959,17047,88,44,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,61,17040,17160,120,30,"C#4",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,76,17160,17292,132,44,"E5",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,54,17280,17400,120,37,"F#3",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,54,18600,18732,132,38,"F#3",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,55,18720,18852,132,39,"G3",7,TRUE,FALSE,FALSE,FALSE,TRUE
