"channel","pitch","tick_on","tick_off","dur_ticks","velocity"
0,35,179520,180001,481,35
0,38,0,480,480,57
0,38,74880,75360,480,57
0,38,164881,165000,119,45
0,38,240000,240480,480,55
0,38,260640,260761,121,49
0,38,260881,261000,119,44
0,38,263041,263520,479,59
0,38,288961,289441,480,35
0,40,51600,51720,120,58
0,40,126481,126601,120,58
0,40,157200,157320,120,45
0,40,164400,164520,120,52
0,40,164640,164881,241,51
0,40,239760,239880,120,51
0,40,260161,260281,120,49
0,40,260400,260521,121,42
0,41,69600,69841,241,52
0,41,144480,144720,240,52
0,41,170881,171840,959,56
0,42,70080,70321,241,52
0,42,144960,145201,241,52
0,42,156721,156841,120,52
0,42,156960,157200,240,51
0,42,163921,164040,119,59
0,42,164161,164400,239,61
0,42,171840,172800,960,51
0,42,177602,178560,958,40
0,42,179040,179520,480,39
0,42,183360,183840,480,32
0,42,239520,239640,120,48
0,42,259680,259800,120,49
0,42,259921,260041,120,40
0,43,156241,156361,120,59
0,43,156480,156721,241,61
0,43,163441,163561,120,62
0,43,163681,163921,240,67
0,43,182400,183360,960,32
0,43,239280,239400,120,45
0,43,261120,261241,121,49
0,43,261600,261720,120,49
0,43,286080,287040,960,40
0,44,51361,51480,119,60
0,44,126241,126360,119,60
0,44,167040,168001,961,56
0,45,0,480,480,57
0,45,24242,24480,238,44
0,45,26162,26400,238,47
0,45,26880,27120,240,50
0,45,27842,28080,238,51
0,45,29041,29131,90,45
0,45,29282,29371,89,45
0,45,29521,29612,91,45
0,45,29761,30180,419,49
0,45,50642,50761,119,57
0,45,51120,51240,120,58
0,45,51840,52320,480,60
0,45,73920,74400,480,35
0,45,74880,75360,480,57
0,45,99121,99361,240,44
0,45,101040,101280,240,47
0,45,101761,102000,239,50
0,45,102721,102960,239,51
0,45,103921,104010,89,45
0,45,104161,104251,90,45
0,45,104402,104492,90,45
0,45,104640,105060,420,49
0,45,125520,125640,120,57
0,45,126001,126120,119,58
0,45,126720,127201,481,60
0,45,148801,149280,479,35
0,45,155761,155880,119,62
0,45,156001,156241,240,67
0,45,159360,161280,1920,44
0,45,163200,163441,241,69
0,45,181440,181921,481,49
0,45,218162,218400,238,46
0,45,220080,220320,240,49
0,45,220800,221040,240,50
0,45,221762,222001,239,51
0,45,222960,223050,90,45
0,45,223200,223290,90,45
0,45,223441,223531,90,45
0,45,223681,224101,420,49
0,45,247440,247560,120,58
0,45,262080,262201,121,42
0,45,262561,262680,119,48
0,45,263041,263520,479,59
0,45,287040,288000,960,40
0,45,288480,288961,481,39
0,46,168001,168960,959,51
0,46,284640,284880,240,52
0,47,50881,51000,119,63
0,47,125760,125881,121,63
0,47,151682,153600,1918,44
0,47,155521,155761,240,69
0,47,178560,179040,480,39
0,47,180480,181440,960,54
0,47,261360,261480,120,42
0,47,261842,261960,118,42
0,47,285120,285361,241,52
0,48,190080,190200,120,37
0,48,190561,190680,119,37
0,48,197761,197880,119,37
0,48,198240,198361,121,37
0,49,24000,24242,242,50
0,49,25921,26162,241,54
0,49,29041,29131,90,45
0,49,29282,29371,89,45
0,49,29521,29612,91,45
0,49,29761,30180,419,49
0,49,98880,99121,241,50
0,49,100801,101040,239,54
0,49,103921,104010,89,45
0,49,104161,104251,90,45
0,49,104402,104492,90,45
0,49,104640,105060,420,49
0,49,204241,204360,119,42
0,49,205200,205320,120,42
0,49,217921,218162,241,52
0,49,219841,220080,239,56
0,49,222960,223050,90,45
0,49,223200,223290,90,45
0,49,223441,223531,90,45
0,49,223681,224101,420,49
0,49,247200,247321,121,60
0,49,262800,262920,120,42
0,50,0,480,480,69
0,50,4321,4560,239,38
0,50,5760,6240,480,42
0,50,10081,10320,239,38
0,50,18361,18492,131,36
0,50,23761,23880,119,40
0,50,24480,24601,121,44
0,50,25680,25800,120,45
0,50,26400,26521,121,48
0,50,27360,27601,241,51
0,50,28321,28560,239,52
0,50,42721,43201,480,30
0,50,57601,57720,119,45
0,50,58080,58201,121,45
0,50,65280,65401,121,45
0,50,65760,65880,120,45
0,50,71040,72001,961,40
0,50,74880,75360,480,69
0,50,79201,79442,241,38
0,50,80640,81121,481,42
0,50,84961,85202,241,38
0,50,93240,93372,132,36
0,50,98640,98760,120,40
0,50,99361,99480,119,44
0,50,100562,100680,118,45
0,50,101280,101400,120,48
0,50,102240,102480,240,51
0,50,103200,103440,240,52
0,50,117601,118080,479,30
0,50,132480,132601,121,45
0,50,132960,133080,120,45
0,50,140161,140280,119,45
0,50,140640,140761,121,45
0,50,145920,146881,961,40
0,50,191040,191161,121,32
0,50,191521,191641,120,36
0,50,198721,198840,119,32
0,50,199200,199320,120,36
0,50,204480,204960,480,44
0,50,205440,205920,480,45
0,50,217681,217800,119,42
0,50,218400,218521,121,46
0,50,219600,219720,120,47
0,50,220320,220441,121,50
0,50,221281,221520,239,51
0,50,222241,222480,239,52
0,50,240000,240480,480,65
0,50,246481,246600,119,57
0,50,246962,247081,119,58
0,50,247680,248160,480,60
0,50,256800,256920,120,35
0,50,257040,257160,120,31
0,50,259800,259921,121,40
0,50,260041,260161,120,40
0,50,260281,260400,119,42
0,50,260521,260640,119,42
0,50,260761,260881,120,44
0,50,261000,261120,120,44
0,50,262320,262442,122,45
0,50,263041,263520,479,70
0,50,267361,267600,239,38
0,50,268800,269280,480,42
0,50,273121,273362,241,38
0,50,288000,288480,480,39
0,51,206160,206281,121,45
0,51,207120,207241,121,45
0,52,4800,5041,241,37
0,52,10560,10801,241,37
0,52,18481,18612,131,37
0,52,26880,27120,240,50
0,52,27842,28080,238,51
0,52,29041,29131,90,45
0,52,29282,29371,89,45
0,52,29521,29612,91,45
0,52,29761,30180,419,49
0,52,34080,34320,240,30
0,52,36480,36722,242,34
0,52,37440,37920,480,33
0,52,41760,42000,240,30
0,52,43201,44160,959,30
0,52,47762,47880,118,51
0,52,58561,58680,119,39
0,52,59040,59160,120,44
0,52,66240,66361,121,39
0,52,66720,66841,121,44
0,52,67922,68041,119,46
0,52,68880,69001,121,46
0,52,72001,72960,959,40
0,52,73440,73920,480,39
0,52,79680,79920,240,37
0,52,85440,85680,240,37
0,52,93360,93492,132,37
0,52,101761,102000,239,50
0,52,102721,102960,239,51
0,52,103921,104010,89,45
0,52,104161,104251,90,45
0,52,104402,104492,90,45
0,52,104640,105060,420,49
0,52,108960,109200,240,30
0,52,111360,111601,241,34
0,52,112320,112801,481,33
0,52,116640,116880,240,30
0,52,118080,119041,961,30
0,52,122640,122760,120,53
0,52,133440,133561,121,39
0,52,133920,134041,121,44
0,52,141121,141242,121,39
0,52,141600,141720,120,44
0,52,142800,142920,120,46
0,52,143761,143881,120,46
0,52,146881,147840,959,40
0,52,148320,148801,481,39
0,52,190320,190441,121,32
0,52,190800,190920,120,32
0,52,198000,198120,120,32
0,52,198481,198601,120,32
0,52,203280,203400,120,39
0,52,206400,206880,480,47
0,52,207360,207840,480,51
0,52,208080,208201,121,46
0,52,209041,209160,119,48
0,52,220800,221040,240,50
0,52,221762,222001,239,51
0,52,222960,223050,90,45
0,52,223200,223290,90,45
0,52,223441,223531,90,45
0,52,223681,224101,420,49
0,52,239760,239880,120,61
0,52,246721,246840,119,63
0,52,256320,256440,120,35
0,52,256561,256680,119,30
0,52,261241,261360,119,42
0,52,261480,261600,120,42
0,52,261720,261842,122,42
0,52,261960,262080,120,42
0,52,267840,268081,241,37
0,52,273600,273840,240,37
0,53,69600,69841,241,63
0,53,144480,144720,240,63
0,53,170641,170760,119,52
0,53,170881,171840,959,66
0,53,175680,175801,121,45
0,53,176162,176280,118,45
0,54,3840,4081,241,38
0,54,9600,9841,241,38
0,54,17280,17400,120,37
0,54,17760,17880,120,37
0,54,18240,18372,132,43
0,54,18600,18732,132,38
0,54,20400,20520,120,31
0,54,20640,20761,121,31
0,54,20880,21001,121,31
0,54,23520,23641,121,40
0,54,24720,24841,121,44
0,54,25440,25560,120,45
0,54,26640,26760,120,48
0,54,27360,27601,241,51
0,54,28321,28560,239,52
0,54,36001,36241,240,29
0,54,57841,57960,119,39
0,54,58321,58441,120,39
0,54,65520,65640,120,39
0,54,66002,66120,118,39
0,54,70080,70321,241,63
0,54,78720,78961,241,38
0,54,84480,84721,241,38
0,54,92162,92280,118,37
0,54,92640,92760,120,37
0,54,93122,93252,130,43
0,54,93480,93613,133,38
0,54,95282,95400,118,31
0,54,95520,95640,120,31
0,54,95761,95882,121,31
0,54,98402,98521,119,40
0,54,99600,99722,122,44
0,54,100322,100442,120,45
0,54,101521,101640,119,48
0,54,102240,102480,240,51
0,54,103200,103440,240,52
0,54,110880,111120,240,29
0,54,132720,132840,120,39
0,54,133202,133320,118,39
0,54,140401,140520,119,39
0,54,140881,141001,120,39
0,54,144960,145201,241,63
0,54,170161,170281,120,50
0,54,170400,170641,241,60
0,54,171840,172800,960,61
0,54,174720,174841,121,45
0,54,175200,175321,121,45
0,54,176640,177602,962,40
0,54,183360,183840,480,38
0,54,191760,191880,120,32
0,54,199442,199561,119,32
0,54,200401,200520,119,40
0,54,201360,201480,120,39
0,54,202320,202441,121,39
0,54,202801,202921,120,39
0,54,203520,204001,481,42
0,54,208321,208800,479,52
0,54,209280,209761,481,52
0,54,217440,217560,120,42
0,54,218640,218760,120,46
0,54,219360,219480,120,47
0,54,220560,220680,120,50
0,54,221281,221520,239,51
0,54,222241,222480,239,52
0,54,239520,239640,120,57
0,54,255841,255960,119,35
0,54,256080,256200,120,29
0,54,259201,259320,119,37
0,54,262201,262320,119,45
0,54,262442,262561,119,45
0,54,266880,267121,241,38
0,54,272640,272881,241,38
0,54,274561,274681,120,47
0,54,275040,275162,122,48
0,54,278400,278520,120,47
0,54,278880,279000,120,48
0,55,16802,16921,119,35
0,55,18720,18852,132,39
0,55,21120,21600,480,37
0,55,22320,22441,121,30
0,55,22560,22680,120,30
0,55,23280,23520,240,40
0,55,25201,25440,239,44
0,55,91680,91800,120,35
0,55,93600,93732,132,39
0,55,96001,96481,480,37
0,55,97201,97320,119,30
0,55,97440,97560,120,30
0,55,98160,98402,242,40
0,55,100080,100322,242,44
0,55,169680,169802,122,46
0,55,169920,170161,241,58
0,55,172800,172921,121,41
0,55,173280,173400,120,41
0,55,173760,173880,120,41
0,55,174241,174361,120,41
0,55,182400,183360,960,38
0,55,185760,185880,120,42
0,55,186000,186120,120,37
0,55,189601,189720,119,37
0,55,189840,189960,120,33
0,55,191280,191402,122,34
0,55,192001,192120,119,39
0,55,193441,193560,119,42
0,55,193680,193800,120,37
0,55,197280,197400,120,37
0,55,197520,197640,120,33
0,55,198960,199080,120,34
0,55,199680,200161,481,44
0,55,200641,201120,479,44
0,55,201602,202080,478,43
0,55,202560,202680,120,42
0,55,203040,203160,120,39
0,55,203280,203400,120,46
0,55,214080,214561,481,53
0,55,215040,215161,121,42
0,55,215280,215400,120,34
0,55,215521,215640,119,34
0,55,215760,215881,121,34
0,55,216000,216120,120,42
0,55,216240,216362,122,34
0,55,217202,217440,238,42
